ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,NL_NAME_2,VARNAME_2,TYPE_2,ENGTYPE_2,GBR_adm2_ID,Latitude,Longitude
239,"GBR","United Kingdom",2,"Northern Ireland",118,"Banbridge","","","District","District","0",54.3328,-6.1683
239,"GBR","United Kingdom",2,"Northern Ireland",119,"Belfast","","","District","District","1",54.6099,-5.9542
239,"GBR","United Kingdom",2,"Northern Ireland",120,"Carrickfergus","","","District","District","2",54.7403,-5.8193
239,"GBR","United Kingdom",2,"Northern Ireland",121,"Castlereagh","","","District","District","3",54.5519,-5.8483
239,"GBR","United Kingdom",2,"Northern Ireland",122,"Coleraine","","","District","District","4",55.0659,-6.6833
239,"GBR","United Kingdom",2,"Northern Ireland",123,"Cookstown","","","District","District","5",54.6414,-6.7096
239,"GBR","United Kingdom",2,"Northern Ireland",124,"Craigavon","","","District","District","6",54.4828,-6.3874
239,"GBR","United Kingdom",2,"Northern Ireland",125,"Derry","","Londonderry","District","London Borough (city)","7",54.9463,-7.2113
239,"GBR","United Kingdom",2,"Northern Ireland",126,"Down","","","District","District","8",54.3309,-5.7951
239,"GBR","United Kingdom",2,"Northern Ireland",127,"Dungannon","","","District","District","9",54.4571,-6.9321
239,"GBR","United Kingdom",2,"Northern Ireland",128,"Fermanagh","","","District","District","10",54.3508,-7.6380
239,"GBR","United Kingdom",2,"Northern Ireland",129,"Larne","","","District","District","11",54.8742,-5.9104
239,"GBR","United Kingdom",2,"Northern Ireland",130,"Limavady","","","District","District","12",54.9863,-6.9395
239,"GBR","United Kingdom",2,"Northern Ireland",131,"Lisburn","","","District","District","13",54.5041,-6.0808
239,"GBR","United Kingdom",2,"Northern Ireland",132,"Magherafelt","","","District","District","14",54.8117,-6.6748
239,"GBR","United Kingdom",2,"Northern Ireland",133,"Moyle","","","District","District","15",55.1458,-6.2399
239,"GBR","United Kingdom",2,"Northern Ireland",134,"Newry and Mourne","","Mourne","District","District","16",54.1564,-6.2909
239,"GBR","United Kingdom",2,"Northern Ireland",135,"Newtownabbey","","","District","District","17",54.7204,-5.9755
239,"GBR","United Kingdom",2,"Northern Ireland",136,"North Down","","","District","District","18",54.6451,-5.7167
239,"GBR","United Kingdom",2,"Northern Ireland",137,"Omagh","","","District","District","19",54.5888,-7.2732
239,"GBR","United Kingdom",2,"Northern Ireland",138,"Strabane","","","District","District","20",54.7603,-7.4276
239,"GBR","United Kingdom",1,"England",1,"Barking and Dagenham","","","London Borough","London Borough","21",51.5410,0.1380
239,"GBR","United Kingdom",1,"England",2,"Bath and North East Somerset","","","Unitary Authority","Unitary Authority","22",51.3461,-2.4758
